symbol,delisted_date,available_since,last_price,data_from_month,trading_days
ldobusd,2023-07-28,2022-07-28,2.0515,2023-06,0.0
galabusd,2023-07-28,2022-05-26,0.024582,2023-06,0.0
agixbusd,2023-07-21,2023-01-19,0.2378,2023-06,0.0
btcusdt_230630,2023-07-01,2023-03-27,30661.0,2023-06,0.0
ethusdt_230630,2023-07-01,2023-03-27,1880.82,2023-06,0.0
1000luncbusd,2023-06-09,2022-05-31,0.0846,2023-05,0.0
1000shibbusd,2023-06-02,2022-07-20,0.008592,2023-05,0.0
cocosusdt,2023-05-26,2023-02-21,1.728,2023-04,0.0
linkbusd,2023-05-24,2022-06-30,7.017,2023-04,0.0
apebusd,2023-05-17,2022-05-19,3.88,2023-04,0.0
dotbusd,2023-05-10,2022-06-08,5.873,2023-04,0.0
filbusd,2023-05-03,2022-07-20,5.42,2023-04,0.0
etcbusd,2023-04-26,2022-07-28,20.742,2023-03,0.0
gmtbusd,2023-04-19,2022-05-18,0.3938,2023-03,0.0
nearbusd,2023-04-19,2022-05-17,1.988,2023-03,0.0
avaxbusd,2023-04-19,2022-05-13,17.714,2023-03,0.0
phbbusd,2023-04-12,2022-09-16,1.1743,2023-03,0.0
sandbusd,2023-04-12,2022-07-07,0.6275,2023-03,0.0
unibusd,2023-04-12,2022-08-05,6.06,2023-03,0.0
ambbusd,2023-04-05,2022-09-14,0.013601,2023-03,0.0
leverbusd,2023-04-05,2022-07-20,0.0021398,2023-03,0.0
tlmbusd,2023-04-05,2022-06-09,0.01991,2023-03,0.0
ethusdt_230331,2023-04-01,2022-12-23,1790.33,2023-03,0.0
btcusdt_230331,2023-04-01,2022-12-23,27807.8,2023-03,0.0
luna2busd,2023-03-23,2022-06-01,1.7069,2023-02,0.0
icpbusd,2023-03-23,2022-06-09,5.799,2023-02,0.0
hntusdt,2023-03-21,2020-09-28,2.619,2023-02,0.0
cvxbusd,2023-03-16,2022-07-13,6.057,2023-02,0.0
galbusd,2023-03-16,2022-05-24,1.896,2023-02,0.0
wavesbusd,2023-03-16,2022-06-29,2.4678,2023-02,0.0
ethusdt_221230,2022-12-31,2022-09-23,1193.0,2022-12,0.0
btcusdt_221230,2022-12-31,2022-09-23,16509.0,2022-12,0.0
ancbusd,2022-12-16,2022-05-25,0.05422,2022-11,0.0
auctionbusd,2022-12-16,2022-08-05,5.182,2022-11,0.0
rayusdt,2022-11-16,2021-08-20,0.52,2022-10,0.0
