id,symbol,type,internal_id,denominator,margin,contract_type,contract_size,first_capture,end_date
spcxusdt,SPCX,perpetual,perpetual-SPCX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-21T00:00:00.000Z,
sportfunusdt,SPORTFUN,perpetual,perpetual-SPORTFUN-USDT:USDT,USDT,USDT,perpetual,1.0,2026-01-16T00:00:00.000Z,
spyusdt,SPY,perpetual,perpetual-SPY-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-06T00:00:00.000Z,
sqqqusdt,SQQQ,perpetual,perpetual-SQQQ-USDT:USDT,USDT,USDT,perpetual,,2026-06-29T00:00:00.000Z,
strcusdt,STRC,perpetual,perpetual-STRC-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
stxxusdt,STXX,perpetual,perpetual-STXX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
terusdt,TER,perpetual,perpetual-TER-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
tqqqusdt,TQQQ,perpetual,perpetual-TQQQ-USDT:USDT,USDT,USDT,perpetual,,2026-06-29T00:00:00.000Z,
tslausdt,TSLA,perpetual,perpetual-TSLA-USDT:USDT,USDT,USDT,perpetual,1.0,2026-01-28T00:00:00.000Z,
tsmusdt,TSM,perpetual,perpetual-TSM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-06T00:00:00.000Z,
ttwousdt,TTWO,perpetual,perpetual-TTWO-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
txnusdt,TXN,perpetual,perpetual-TXN-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
tzausdt,TZA,perpetual,perpetual-TZA-USDT:USDT,USDT,USDT,perpetual,,2026-07-16T00:00:00.000Z,
uberusdt,UBER,perpetual,perpetual-UBER-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-15T00:00:00.000Z,
urnmusdt,URNM,perpetual,perpetual-URNM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-09T00:00:00.000Z,
usarusdt,USAR,perpetual,perpetual-USAR-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-06T00:00:00.000Z,
uvxyusdt,UVXY,perpetual,perpetual-UVXY-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
vrtusdt,VRT,perpetual,perpetual-VRT-USDT:USDT,USDT,USDT,perpetual,,2026-07-10T00:00:00.000Z,
vusdt,V,perpetual,perpetual-V-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
wdcusdt,WDC,perpetual,perpetual-WDC-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-26T00:00:00.000Z,
wenusdt,WEN,perpetual,perpetual-WEN-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
wmtusdt,WMT,perpetual,perpetual-WMT-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
xbiusdt,XBI,perpetual,perpetual-XBI-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
xleusdt,XLE,perpetual,perpetual-XLE-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-10T00:00:00.000Z,
zmusdt,ZM,perpetual,perpetual-ZM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-10T00:00:00.000Z,
